"","date","time","post_id","title","description","total_clicks","other_clicks","photo_views","link_clicks","three_second_video_plays","comments","likes","shares","engagements","reach","impressions","hidden_unique_negative_comments","all_hidden_unique_negative_comments"
"1","02/07/2022","09:02",477989587183649,"","What goes in a soup, salad, or sandwich is a social construct. 

A roadmap to every discussion of this type.
""Is X a Y? (Despite falling outside of it by obvious convention.)""
""No, (I say this intuitively because it's against my unexpressed usage conventions)""
""But it follows some abstract rule that you might use to define that linguistic category! If you don't accept that rule, what rule do you accept?""
*Foolish sod tried to come up with some rule, falling for the idealist trap.*
""But there's a counterexample to that rule, or that rule would include such or such unconventional thing that doesn't fall into the category""
Continue ad nauseum.

The whole mess came from trying to define some platonic form of soups or whatever, when what goes in a soup, salad, or sandwich is a social construct. We just call things soups cuz that's what we call things like that.",84,68,16,NA,0,5,77,10,92,2395,2521,NA,NA
"2","02/07/2022","14:02",478117630504178,"Actualización de estado","",99,32,67,NA,0,0,36,6,42,1256,1322,NA,NA
"3","02/07/2022","19:02",478227480493193,"","OC
When your prayer has whack error bars",17,11,6,NA,0,2,24,0,26,901,936,NA,NA
"4","02/08/2022","10:02",478629433786331,"Meme Symposium","",103,70,33,NA,0,2,99,10,111,1789,1889,NA,NA
"5","02/08/2022","17:02",478782297104378,"Fotos de Philosopher Games","",56,34,22,NA,0,1,50,6,57,1098,1117,NA,NA
"6","02/09/2022","18:02",479382817044326,"Actualización de estado","Shilled for a copy with these in it. Worth it.",115,63,52,NA,0,0,37,10,47,1251,1325,NA,NA
"7","02/11/2022","11:02",480564756926132,"","OC",100,40,60,NA,0,1,42,6,49,1372,1445,NA,NA
"8","02/11/2022","13:02",480618890254052,"","",46,30,16,NA,0,0,60,8,68,1225,1289,NA,NA
"9","02/11/2022","17:02",480690693580205,"Animal Memeposting 2.0","",68,67,NA,1,342,3,38,0,41,963,1003,NA,NA
"10","02/12/2022","15:02",481318976850710,"Actualización de estado","",96,57,39,NA,0,4,33,10,47,1796,1870,NA,NA
"11","02/13/2022","10:02",481857076796900,"Actualización de estado","The industrial revolution and its consequences have been a disaster for the human race.",84,62,22,NA,0,1,43,7,51,1133,1189,NA,NA
"12","02/13/2022","15:02",482004540115487,"","OC",199,45,154,NA,0,1,52,6,59,2071,2167,NA,NA
"13","02/15/2022","07:02",483089210007020,"Actualización de estado","",37,21,16,NA,0,0,31,3,34,873,873,NA,NA
"14","02/15/2022","19:02",483359929979948,"","Not OC",60,42,18,NA,0,0,94,15,109,2246,2348,NA,NA
"15","02/15/2022","22:02",483424239973517,"Actualización de estado","",30,17,13,NA,0,0,14,4,18,1023,1061,NA,NA
"16","02/16/2022","08:02",483698589946082,"","NONTEMPORAL ENTITIES THE MOST TOXIC FANDOM CONFIRMED!
o.c.",170,128,42,NA,0,18,124,27,169,4399,4469,NA,1
"17","02/16/2022","18:02",483960283253246,"Actualización de estado","",142,48,94,NA,0,0,27,2,29,1586,1636,NA,NA
"18","02/16/2022","23:02",484073473241927,"Actualización de estado","",30,23,7,NA,0,0,23,4,27,1253,1277,NA,NA
"19","02/17/2022","11:02",484444206538187,"","Probably already been done",189,56,133,NA,0,2,52,7,61,1770,1821,NA,NA
"20","02/17/2022","19:02",484618739854067,"Actualización de estado","",273,204,69,NA,0,5,107,13,125,2193,2274,NA,NA
"21","02/17/2022","19:02",484631599852781,"","Biblically accurate Krebs
OC",10,7,3,NA,0,0,14,3,17,1081,1122,NA,NA
"22","02/17/2022","21:02",484669769848964,"Actualización de estado","",62,23,39,NA,0,1,22,5,28,1464,1538,NA,NA
"23","02/18/2022","10:02",485011236481484,"Actualización de estado","",47,34,13,NA,0,0,18,2,20,1392,1434,NA,NA
"24","02/18/2022","20:02",485221826460425,"","Pyruvate lil beitch 
OC",29,21,8,NA,0,1,35,5,41,1458,1543,NA,NA
"25","02/19/2022","12:02",485642539751687,"","",34,8,26,NA,0,0,53,1,54,1526,1547,NA,NA
"26","02/19/2022","20:02",485826379733303,"","""Bruh you're like 3 hours late bringing the acetyl group. What were you doing?
OC",6,1,5,NA,0,1,4,2,7,1122,1130,NA,NA
"27","02/20/2022","21:02",486438353005439,"","",4138,3265,873,NA,0,205,2306,339,2850,62620,65886,4,NA
"28","02/21/2022","14:02",486912782957996,"Actualización de estado","Dore is always so gud",13,11,2,NA,0,1,12,3,16,1119,1171,NA,NA
"29","02/21/2022","16:02",486969592952315,"Giant bear known as 'Hank the Tank' burglarizes another Lake Tahoe home; 40 break-ins since July","absolute unit",38,20,NA,18,0,2,40,3,45,1309,1401,NA,NA
"30","02/22/2022","04:02",487302769585664,"Actualización de estado","",147,81,66,NA,0,2,46,8,56,1964,2063,1,NA
"31","02/22/2022","19:02",487682696214338,"","",2327,1752,575,NA,0,139,690,145,974,16796,17400,1,NA
"32","02/23/2022","21:02",488320592817215,"","Guys WWIII just dropped!",12,3,9,NA,0,1,13,3,17,498,538,NA,NA
"33","02/23/2022","21:02",488325859483355,"Actualización de estado","",56,32,24,NA,0,0,53,3,56,1628,1737,NA,NA
"34","02/24/2022","07:02",488578592791415,"Actualización de estado","",39,28,11,NA,0,0,21,3,24,879,951,NA,NA
"35","02/24/2022","14:02",488781929437748,"Actualización de estado","",70,38,32,NA,0,4,27,2,33,1100,1172,NA,NA
"36","02/24/2022","16:02",488813276101280,"","Dang, there were other forms of power than money?",357,117,240,NA,0,4,33,5,42,2085,2251,NA,NA
"37","02/25/2022","23:02",489589152690359,"Actualización de estado","",609,314,295,NA,0,2,51,2,55,2006,2121,NA,NA
"38","02/26/2022","13:02",490035142645760,"Actualización de estado","",102,67,35,NA,0,0,43,9,52,1432,1504,NA,NA
"39","02/27/2022","16:02",490716542577620,"","oC",40,22,18,NA,0,0,43,8,51,1852,1933,NA,NA
"40","02/27/2022","18:02",490757342573540,"Wild Green Memes for Ecological Fiends","",46,10,36,NA,0,0,23,3,26,1673,1743,NA,NA
"41","02/27/2022","19:02",490783675904240,"Actualización de estado","We want justice",37,27,10,NA,0,6,39,5,50,1351,1461,NA,NA
"42","02/27/2022","20:02",490818562567418,"Actualización de estado","Someone has been plagiarizing me",129,66,63,NA,0,1,19,1,21,1840,1959,NA,NA
"43","02/28/2022","10:02",491251602524114,"Actualización de estado","",243,243,NA,NA,0,12,37,7,56,2009,2051,NA,NA
"44","02/28/2022","14:02",491333909182550,"","Blatantly stolen",79,52,27,NA,0,12,51,8,71,2246,2430,NA,NA
"45","02/28/2022","18:02",491434475839160,"Fotos de la biografía","Body with too many organs",39,32,7,NA,0,1,15,0,16,1028,1032,NA,NA
"46","02/28/2022","19:02",491457909170150,"Actualización de estado","",19,12,7,NA,0,0,29,2,31,1074,1101,NA,NA
"47","03/02/2022","14:03",492606642388610,"Actualización de estado","",178,124,54,NA,0,0,140,27,167,2282,2416,NA,NA
"48","03/02/2022","21:03",492770609038880,"Actualización de estado","",78,49,29,NA,0,0,38,5,43,1584,1605,NA,NA
"49","03/02/2022","21:03",492777095704898,"Actualización de estado","",99,56,43,NA,0,0,61,12,73,1556,1590,NA,NA
"50","03/02/2022","21:03",492783785704229,"Actualización de estado","",132,59,73,NA,0,3,98,12,113,1617,1662,NA,NA
"51","03/03/2022","12:03",493164362332838,"Actualización de estado","",53,43,10,NA,0,1,33,3,37,1126,1128,NA,NA
"52","03/03/2022","18:03",493296788986262,"Actualización de estado","",78,48,30,NA,0,1,52,11,64,1326,1389,NA,NA
"53","03/03/2022","20:03",493330588982882,"","OC",30,16,14,NA,0,2,30,2,34,1518,1571,NA,NA
"54","03/03/2022","21:03",493361678979773,"Actualización de estado","",16,11,5,NA,0,1,19,0,20,1238,1288,NA,NA
"55","03/04/2022","12:03",493762708939670,"Sigmund Freud's Dank Meme Stash 2: Daddy's Return","",28,16,12,NA,0,0,6,0,6,855,871,NA,NA
"56","03/04/2022","18:03",493889545593653,"","",131,95,36,NA,0,27,129,18,174,2875,3038,NA,NA
"57","03/04/2022","20:03",493966458919295,"Actualización de estado","",97,67,30,NA,0,0,78,9,87,1196,1224,NA,NA
"58","03/04/2022","22:03",494025058913435,"Actualización de estado","microplastique",73,37,36,NA,0,0,75,14,89,1815,1861,NA,NA
"59","03/05/2022","10:03",494331662216108,"Actualización de estado","",58,36,22,NA,0,0,28,1,29,1245,1287,NA,NA
"60","03/05/2022","11:03",494367035545904,"","Simulation theory is just neo-neo-platonism, change my mind",209,142,67,NA,0,13,130,22,165,3269,3402,NA,1
"61","03/05/2022","13:03",494415152207759,"Actualización de estado","",175,134,41,NA,0,1,72,9,82,1897,1937,NA,NA
"62","03/06/2022","01:03",494812532168021,"Actualización de estado","",77,44,33,NA,0,0,84,12,96,1915,1934,NA,NA
"63","03/06/2022","20:03",495284142120860,"","Stolen from somewhere",159,110,48,1,0,4,140,30,174,3428,3663,NA,NA
"64","03/06/2022","21:03",495306058785335,"Fotos de la biografía","Everyone who played this game chose to mercilessly drop this penguin off a cliff just to see if we could.",4,2,2,NA,0,0,14,1,15,1054,1091,NA,NA
"65","03/07/2022","13:03",495722628743678,"Fotos de la biografía","*Kermit voice* you should be a monster",13,6,7,NA,0,0,12,1,13,969,1019,NA,NA
"66","03/08/2022","19:03",496500275332580,"Actualización de estado","",182,91,91,NA,0,3,60,5,68,2079,2092,NA,NA
"67","03/08/2022","20:03",496525188663422,"Actualización de estado","",63,42,21,NA,0,0,57,8,65,1604,1635,NA,NA
"68","03/09/2022","17:03",497034631945811,"Actualización de estado","",94,74,20,NA,0,5,85,9,99,1803,1868,NA,NA
"69","03/10/2022","23:03",497771188538822,"Actualización de estado","",46,34,12,NA,0,1,47,6,54,1739,1769,NA,NA
"70","03/11/2022","13:03",498187898497151,"Actualización de estado","",33,24,9,NA,0,0,15,1,16,1305,1335,NA,NA
"71","03/12/2022","20:03",498946121754662,"Actualización de estado","",25,16,9,NA,0,0,28,4,32,1358,1393,NA,NA
"72","03/13/2022","13:03",499353181713956,"Actualización de estado","",64,26,38,NA,0,0,9,1,10,1001,1051,NA,NA
"73","03/13/2022","17:03",499447371704537,"Actualización de estado","New capeshit was aight",77,35,42,NA,0,2,16,4,22,1039,1063,NA,NA
"74","03/13/2022","17:03",499448415037766,"Austrian Economics Memes","",196,124,72,NA,0,0,81,9,90,2294,2297,NA,1
"75","03/13/2022","21:03",499538555028752,"Actualización de estado","",30,24,6,NA,0,2,19,2,23,1368,1411,NA,NA
"76","03/13/2022","23:03",499580565024551,"Wild Green Memes for Ecological Fiends","",64,38,26,NA,0,0,38,10,48,1935,1956,NA,NA
"77","03/14/2022","08:03",499829524999655,"Actualización de estado","",36,27,9,NA,0,0,39,5,44,1608,1638,NA,1
"78","03/14/2022","16:03",500015628314378,"Actualización de estado","",66,53,13,NA,0,6,78,6,90,2130,2156,NA,NA
"79","03/14/2022","19:03",500084638307477,"Actualización de estado","",97,55,42,NA,0,2,61,9,72,1833,1858,NA,NA
"80","03/14/2022","19:03",500093131639961,"Actualización de estado","",38,29,9,NA,0,0,31,5,36,1328,1330,NA,NA
"81","03/14/2022","22:03",500155011633773,"Actualización de estado","",320,130,189,1,0,0,30,2,32,2501,2550,NA,NA
"82","03/15/2022","10:03",500475474935060,"Actualización de estado","",153,65,88,NA,0,0,41,5,46,2216,2269,NA,NA
"83","03/15/2022","13:03",500557584926849,"","OC",586,172,414,NA,0,9,27,3,39,3630,3721,NA,NA
"84","03/17/2022","10:03",501752294807378,"Fotos de portada","",55,48,7,NA,0,3,28,8,39,1503,1583,NA,NA
"85","03/17/2022","13:03",501831068132834,"","True Story.",32,27,5,NA,0,4,21,0,25,1357,1443,NA,NA
"86","03/17/2022","18:03",501980954784512,"Actualización de estado","",55,35,20,NA,0,0,49,5,54,1177,1217,NA,NA
"87","03/17/2022","22:03",502114688104472,"Actualización de estado","Brothers, we can just start planting trees everywhere. They can't stop all of us.",27,27,NA,NA,202,0,18,0,18,726,753,NA,NA
"88","03/18/2022","11:03",502449941404280,"Actualización de estado","",311,166,145,NA,0,5,76,17,98,2719,2813,NA,NA
"89","03/19/2022","13:03",503168307999110,"Actualización de estado","I actually gave a Foucault finger-puppet to one of the other admins for Christmas this year",73,50,20,3,0,0,50,7,57,1860,1886,NA,NA
"90","03/19/2022","23:03",503411021308172,"Actualización de estado","",90,67,23,NA,0,1,26,3,30,1430,1488,NA,NA
"91","03/20/2022","07:03",503627407953200,"Actualización de estado","Possibly a repost",65,35,30,NA,0,0,52,7,59,1735,1776,NA,NA
"92","03/20/2022","10:03",503708107945130,"","Stolen shamelessly",160,105,55,NA,0,5,143,18,166,3201,3318,NA,NA
"93","03/20/2022","13:03",503769317939009,"Fotos de la biografía","",14,4,10,NA,0,1,18,0,19,636,662,NA,NA
"94","03/20/2022","16:03",503842801264994,"Actualización de estado","",280,174,106,NA,0,1,28,1,30,1303,1378,NA,NA
"95","03/20/2022","17:03",503853831263891,"","Feeling self-conscious at the gym",139,111,28,NA,0,9,111,18,138,2959,3038,NA,NA
"96","03/21/2022","16:03",504459471203327,"Wild Green Memes for Ecological Fiends","",24,13,11,NA,0,0,30,3,33,1044,1080,NA,NA
"97","03/21/2022","19:03",504516207864320,"","Oc",302,235,67,NA,0,20,204,29,253,5203,5278,NA,NA
"98","03/21/2022","22:03",504591511190123,"Wild Green Memes for Ecological Fiends","",17,12,5,NA,0,0,20,3,23,1121,1154,NA,NA
"99","03/22/2022","14:03",505006661148608,"Actualización de estado","",210,118,92,NA,0,0,80,8,88,1985,2042,NA,NA
"100","03/22/2022","14:03",505006787815262,"Actualización de estado","",78,46,32,NA,0,0,68,9,77,1341,1385,NA,NA
"101","03/23/2022","02:03",505283281120946,"Actualización de estado","",127,76,51,NA,0,2,52,15,69,1768,1780,NA,NA
"102","03/23/2022","12:03",505548401094434,"","Been listening to Zen Mind, Beginners mind in the gym. Suzuki Roshi talks about frogs for a good 15 minutes. It's good stuff.",103,76,27,NA,0,7,65,7,79,2594,2777,NA,NA
"103","03/23/2022","14:03",505589534423654,"Wild Green Memes for Ecological Fiends","zenfroggezenfrogge",31,23,8,NA,0,1,30,6,37,1442,1487,NA,NA
"104","03/24/2022","22:03",506496947666246,"Actualización de estado","",199,69,130,NA,0,0,48,11,59,1857,1901,NA,NA
"105","03/25/2022","05:03",506652847650656,"","",154,86,68,NA,0,13,72,10,95,4196,4293,NA,NA
"106","03/25/2022","09:03",506805517635389,"","not OC",155,66,89,NA,0,9,128,11,148,4003,4122,NA,NA
"107","03/25/2022","14:03",506943654288242,"Actualización de estado","",65,18,47,NA,0,0,25,4,29,1264,1310,NA,NA
"108","03/25/2022","20:03",507066114275996,"","OC
Remember kids everything is always France's fault...
Except when it's England's fault.
https://en.wikipedia.org/wiki/Saxon_Wars",581,15,527,39,0,3,39,6,48,2344,2384,NA,1
"109","03/26/2022","09:03",507445970904677,"Actualización de estado","",253,55,198,NA,0,2,146,21,169,2441,2520,NA,NA
"110","03/26/2022","19:03",507708410878433,"","I'm sure someone has done this before but
OC",63,22,40,1,0,0,27,3,30,1402,1427,NA,NA
"111","03/27/2022","13:03",508188210830453,"Actualización de estado","",36,21,15,NA,0,1,15,2,18,772,817,NA,NA
"112","03/27/2022","13:03",508202430829031,"Actualización de estado","",232,152,80,NA,0,2,70,6,78,2049,2095,NA,NA
"113","03/27/2022","17:03",508284357487505,"Actualización de estado","",112,73,39,NA,0,0,41,2,43,1554,1612,NA,NA
"114","03/28/2022","06:03",508579417457999,"","OC",96,37,59,NA,0,5,38,9,52,1639,1724,NA,NA
"115","03/28/2022","12:03",505550164427591,"","The other route- they lean into it and make a cult instead of retiring. 
O.C.",93,29,64,NA,0,2,39,4,45,1737,1824,NA,NA
"116","03/28/2022","13:03",508804817435459,"Actualización de estado","",102,38,64,NA,0,2,41,8,51,1476,1552,NA,NA
"117","03/28/2022","16:03",508854657430475,"Actualización de estado","",61,21,40,NA,0,0,41,7,48,1402,1465,NA,NA
"118","03/28/2022","17:03",508886334093974,"Actualización de estado","",69,21,48,NA,0,0,30,3,33,1110,1137,NA,NA
"119","03/28/2022","18:03",508894477426493,"Actualización de estado","",48,48,NA,NA,177,0,12,0,12,703,752,NA,NA
"120","03/28/2022","21:03",508972510752023,"","O.C. but the picture is from some random buff boi.",37,28,9,NA,0,1,37,4,42,1489,1567,NA,NA
"121","03/29/2022","05:03",509149024067705,"","I can't take fundies who aren't also militant enviromentalists seriously.
OC",191,158,33,NA,0,21,77,17,115,2738,2979,NA,NA
"122","03/29/2022","16:03",509461154036492,"Actualización de estado","",35,21,14,NA,0,0,23,2,25,1343,1407,NA,NA
"123","03/30/2022","08:03",509861393996468,"Actualización de estado","",35,21,14,NA,0,0,24,5,29,1073,1129,NA,NA
"124","03/30/2022","14:03",510072730642001,"","OC",1602,756,846,NA,0,24,211,32,267,15001,15372,NA,NA
"125","03/31/2022","05:03",510424543940153,"","OC",68,39,29,NA,0,1,68,6,75,2917,2987,NA,NA
"126","03/31/2022","10:03",510607753921832,"Actualización de estado","",304,226,78,NA,0,6,131,10,147,2925,2990,NA,NA
"127","03/31/2022","16:03",510548813927726,"","Submission from a Bro:
""It is perhaps true to say that, in Greece, mathematics were born from techniques of measurement.""
--Foucault",64,50,14,NA,0,1,26,2,29,1612,1703,NA,NA
"128","02/07/2022","04:02",477867757195832,"Actualización de estado","",10,4,6,NA,0,0,8,1,9,423,457,NA,NA
"129","01/01/2022","19:01",456054256043849,"Actualización de estado","",208,136,72,NA,0,2,125,14,141,2144,2207,NA,NA
"130","01/02/2022","09:01",456414942674447,"Asian Spiritual Shitposting (ASS)","",240,122,118,NA,0,0,41,5,46,1430,1455,NA,NA
"131","01/02/2022","09:01",456418002674141,"Actualización de estado","",99,97,NA,2,492,4,23,0,27,912,959,NA,NA
"132","01/02/2022","10:01",456447132671228,"","Post-Modernism? Nah man, I just post Physique.",96,96,NA,NA,0,10,95,9,114,2158,2257,NA,1
"133","01/02/2022","19:01",456640995985175,"Actualización de estado","",43,24,19,NA,0,0,61,10,71,1145,1185,NA,NA
"134","01/03/2022","00:01",456739135975361,"Actualización de estado","",291,122,169,NA,0,0,34,7,41,1554,1598,NA,NA
"135","01/04/2022","07:01",457511282564813,"Actualización de estado","",276,212,64,NA,0,4,57,11,72,1535,1588,NA,NA
"136","01/04/2022","21:01",457844239198184,"","Blatantly stolen",130,102,27,1,0,9,76,9,94,1855,1869,NA,NA
"137","01/05/2022","10:01",458186945830580,"Carl Jung's Dank Archetype Stash 2 Anima's return.","",163,114,36,13,0,1,81,12,94,1615,1690,NA,NA
"138","01/05/2022","22:01",458484772467464,"Actualización de estado","",112,67,45,NA,0,0,58,6,64,1384,1437,NA,NA
"139","01/05/2022","23:01",458499225799352,"Actualización de estado","",16,9,7,NA,0,0,19,2,21,917,924,NA,NA
"140","01/06/2022","10:01",458783089104299,"","From now on, gonna refer to cooking as ""Predigesting"" in order to focus on the nutritional aspect and educate folks about human evolution. 😤",20,20,NA,NA,0,3,24,0,27,967,988,NA,NA
"141","01/07/2022","10:01",458792209103387,"","O.C. 

Actually this is a subject of some debate, because although Freud had read Darwin and is known to have referred to him in some of his letters and writings, it's possible that he was really more compelled by what we'd refer to as ""Proto-Darwinist"" thought, including such concepts as phylogeny. I, Gymmin, feel compelled to admit my relative ignorance on the topic.

However, the harmony of the evolutionary and psychoanalytic views is the concept of the human mind as being a reaction to the environment which it developed in, including on the long term of the development of the human species.",193,81,112,NA,0,5,45,3,53,1495,1553,1,NA
"142","01/07/2022","15:01",459589055690369,"Fotos de la biografía","Reminder",30,18,12,NA,0,0,35,6,41,1090,1122,NA,NA
"143","01/07/2022","20:01",459684592347482,"","OC
Eukaryosis was a mistake.",49,28,21,NA,0,2,136,24,162,2178,2282,NA,NA
"144","01/07/2022","23:01",459769555672319,"Actualización de estado","",235,108,127,NA,0,1,44,3,48,1497,1547,NA,NA
"145","01/07/2022","23:01",459770145672260,"Adeptus Shitpostium","",96,58,38,NA,0,0,86,11,97,1586,1684,NA,1
"146","01/08/2022","09:01",460032558979352,"Actualización de estado","",93,43,50,NA,0,0,112,17,129,1426,1462,NA,NA
"147","01/08/2022","14:01",460149428967665,"","Autobiographical O.C.",188,67,121,NA,0,4,27,4,35,1828,1892,NA,NA
"148","01/08/2022","23:01",460357498946858,"","",37,26,11,NA,0,2,77,11,90,1768,1790,NA,NA
"149","01/09/2022","17:01",460802982235643,"Actualización de estado","",61,47,14,NA,0,2,43,3,48,1145,1195,NA,NA
"150","01/10/2022","19:01",461429222173019,"","OC",38,32,6,NA,0,4,25,1,30,1316,1370,NA,NA
"151","01/11/2022","11:01",461823875466887,"Fotos subidas con el móvil","",19,8,8,3,0,0,6,1,7,508,540,NA,NA
"152","01/11/2022","22:01",462069782108963,"Actualización de estado","",138,101,37,NA,0,4,116,13,133,1825,1865,NA,NA
"153","01/12/2022","08:01",462329658749642,"","",9,2,7,NA,0,0,20,2,22,704,739,NA,NA
"154","01/12/2022","14:01",462466118735996,"Actualización de estado","Ngl The King in Yellow is better than like 95% of Lovecraft",17,12,5,NA,0,0,13,2,15,979,1021,NA,NA
"155","01/13/2022","12:01",463022852013656,"Actualización de estado","",98,67,28,3,0,1,44,4,49,711,725,NA,NA
"156","01/13/2022","12:01",463025112013430,"Actualización de estado","",15,7,8,NA,0,0,25,2,27,872,901,NA,NA
"157","01/13/2022","15:01",463100835339191,"Actualización de estado","Admin pic
Felt cute might delete later",18,13,5,NA,0,1,19,0,20,791,810,NA,NA
"158","01/13/2022","17:01",463140248668583,"Actualización de estado","",57,26,31,NA,0,1,23,2,26,697,728,NA,NA
"159","01/13/2022","22:01",463267398655868,"Meme Symposium","",113,73,40,NA,0,2,103,12,117,1578,1642,1,NA
"160","01/14/2022","21:01",463862851929656,"Actualización de estado","",146,105,41,NA,0,7,90,7,104,1684,1709,NA,NA
"161","01/15/2022","19:01",464417035207571,"Actualización de estado","",29,19,10,NA,0,0,26,2,28,635,666,NA,NA
"162","01/16/2022","07:01",464724558510152,"Actualización de estado","",285,144,141,NA,0,3,71,7,81,1666,1737,NA,NA
"163","01/16/2022","08:01",464756578506950,"Actualización de estado","",257,178,79,NA,0,6,68,5,79,1485,1544,NA,NA
"164","01/16/2022","19:01",465063451809596,"","Before y'all get mad, remember they're both Bri'ish and therefore equally subhuman
OC",17,16,1,NA,0,1,21,1,23,440,478,NA,NA
"165","01/17/2022","16:01",465602718422336,"","",192,150,42,NA,0,2,101,16,119,4120,4298,NA,NA
"166","01/17/2022","20:01",465691301746811,"Actualización de estado","",47,21,26,NA,0,0,18,1,19,876,922,NA,NA
"167","01/18/2022","08:01",466023235046951,"Actualización de estado","",85,47,38,NA,0,1,19,4,24,992,1030,NA,NA
"168","01/18/2022","18:01",466241728358435,"Actualización de estado","",32,24,8,NA,0,0,44,5,49,726,748,NA,NA
"169","01/18/2022","18:01",466243071691634,"Fotos de la biografía","",16,10,6,NA,0,1,13,1,15,607,654,NA,NA
"170","01/19/2022","07:01",466563624992912,"Actualización de estado","",170,60,110,NA,0,0,30,0,30,1086,1125,NA,NA
"171","01/19/2022","11:01",466684748314133,"Actualización de estado","",12,10,2,NA,0,0,13,0,13,823,860,NA,NA
